,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19
24,11000026,1,SPD,1949,Ministerialrat,Deutschland,Alltschekow,Peter,['12'],['Landesliste'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,11000027,1,CDU,1922,Land- und Forstwirt,Deutschland,Alten-Nordheim,Odal,"['6', '7']","['Landesliste', 'Landesliste']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,11000028,1,CSU,1928,Rechtsanwalt,Deutschland,Althammer,Walter,"['4', '5', '6', '7', '8', '9', '10']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
27,11000029,1,CDU,1946,Chirurg,Deutschland,Altherr,Walter,['12'],['Landesliste'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,11000030,1,SPD,1889,"Journalist, Schriftsteller",Deutschland,Altmaier,Jakob,"['1', '2', '3', '4']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,11000031,1,SPD,1920,Schiffbauer,Deutschland,Altvater,Wilhelm,['3'],['Landesliste'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,11000032,1,DZP,1888,"Jurist (Richter), Verwaltungsbeamter",Deutschland,Amelunxen,Rudolf,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,11000033,1,SPD,1955,Lokomotivführer,Deutschland,Amende,Andreas,['11'],['Volkskammer'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,11000034,1,SPD,1934,Installateur,Deutschland,Amling,Max,"['7', '8', '9', '10', '11']","['Direktwahl', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste']",0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
33,11000035,1,CDU,1912,Rechtsanwalt und Notar,Deutschland,Amrehn,Franz,"['6', '7', '8', '9']","['Landesliste', 'Landesliste', 'Landesliste', 'Landesliste']",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
34,11000036,1,SPD,1940,Studienrat,Deutschland,Anbuhl,Jürgen,"['6', '7']","['Landesliste', 'Direktwahl']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35,11000037,1,SPD,1896,Stadtdirektor a. D.,Deutschland,Anders,Artur,['4'],['Landesliste'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,11000038,1,SPD,1951,"Maschinenschlosser, Gewerkschaftssekretär, Parl. Staatssekretär a. D.",Deutschland,Andres,Gerd,"['11', '12', '13', '14', '15', '16']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
37,11000039,1,FDP,1923,Speditionsunternehmer,Deutschland,Angermeyer,Joachim,['8'],['Landesliste'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,11000040,1,FDP,1942,"Klemtner, Installateurmeister",Deutschland,Annies,Dieter,['11'],['Volkskammer'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,11000041,0,SPD,1880,Textilarbeiterin,Deutschland,Ansorge,Maria,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,11000042,1,SPD,1939,Landesgeschäftsführer,Deutschland,Antretter,Robert,"['9', '10', '11', '12', '13']","['Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste']",0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
41,11000043,1,SPD,1932,Bundesminister a. D.,Deutschland,Apel,Hans,"['5', '6', '7', '8', '9', '10', '11']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Landesliste']",0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
