WP-JAHRE,NUMIND,ID,ANFANG,VORNAME,NACHNAME,ALTER,GESCHLECHT,PARTEI_KURZ,BERUF,AUSLAND,MANDATSART,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19
1949-1953;01,29,11000137,1949,Arno,Behrisch,36,1,SPD,"Chefredakteur, Geschäftsführer",0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,30,11000154,1949,Karl,Bergmann,42,1,SPD,Gewerkschaftssekretär i. R.,0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,31,11000157,1949,Ludwig,Bergstraesser,66,1,SPD,Dozent,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,32,11000159,1949,August,Berlin,39,1,SPD,"Angestellter, Geschäftsführer",0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,33,11000164,1949,Helmut,Bertram,39,1,Andere,Rechtsanwalt und Notar,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,34,11000166,1949,Anton,Besold,45,1,Union,Rechtsanwalt,0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,35,11000167,1949,Emil,Bettgenhäuser,43,1,SPD,Geschäftsführer,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,36,11000174,1949,Anna Maria,Bieganowski,43,0,Andere,Angestellte,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,37,11000177,1949,Karl,Bielig,51,1,SPD,Redakteur,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,38,11000182,1949,Willi,Birkelbach,36,1,SPD,Geschäftsführer,0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,39,11000190,1949,Peter,Blachstein,38,1,SPD,Journalist,0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,40,11000193,1949,Martin,Blank,52,1,FDP,Direktor,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,41,11000195,1949,Theodor,Blank,44,1,Union,Bundesminister a. D.,0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,42,11000196,1949,Paul,Bleiß,45,1,SPD,Betriebsdirektor,0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,43,11000202,1949,Franz,Blücher,53,1,Andere,Bundesminister a. D.,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,44,11000213,1949,Hans,Bodensteiner,37,1,Union,Landrat a. D.,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,45,11000217,1949,Hans,Böhm,59,1,SPD,Geschäftsführer,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,46,11000246,1949,Willy,Brandt,36,1,SPD,"Journalist, Ehrenvorsitzender der SPD",0,0.0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1949-1953;01,47,11000250,1949,Aenne,Brauksiepe,37,0,Union,"Hausfrau, Bundesministerin a. D.",0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,48,11000263,1949,Heinrich,Brentano,45,1,Union,Rechtsanwalt und Notar,0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,49,11000264,1949,Wilhelm,Brese,53,1,Union,Bauer,0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,50,11000267,1949,Hermann Louis,Brill,54,1,SPD,Lehrer,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,51,11000269,1949,Else,Brökelschen,59,0,Union,Hausfrau,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,52,11000270,1949,Josef,Brönner,65,1,Union,Landrat a. D.,0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,53,11000272,1949,Paul,Bromme,43,1,SPD,Chefredakteur,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,54,11000273,1949,Walter,Brookmann,48,1,Union,Kaufmann,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,55,11000279,1949,Eberhard,Brünen,43,1,SPD,Angestellter,0,1.0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
