WP-JAHRE,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP-JAHRE
2017-;19,11002617,1,Union,1958,"Chef des Bundeskanzleramtes, Bundesministerfür besondere Aufgaben, Jurist",Deutschland,Altmaier,Peter,"['13', '14', '15', '16', '17', '18', '19']","[0, 0, 0, 0, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2017-;19
2017-;19,11002621,0,SPD,1953,Juristin,Deutschland,Barnett,Doris,"['13', '14', '15', '16', '17', '18', '19']","[0, 1, 1, 1, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2017-;19
2017-;19,11002655,0,SPD,1953,Lehrerin,Deutschland,Freitag,Dagmar,"['13', '14', '15', '16', '17', '18', '19']","[0, 1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2017-;19
2017-;19,11002666,1,Union,1961,"Bundesminister a. D., Rechtsanwalt",Deutschland,Gröhe,Hermann,"['13', '14', '15', '16', '17', '18', '19']","[0, 1, 0, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2017-;19
2017-;19,11002667,1,Union,1955,Dipl.-Elektroingenieur,Deutschland,Grund,Manfred,"['13', '14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2017-;19
2017-;19,11002672,0,SPD,1952,"Bundesministerin für Umwelt, Naturschutz, Bau und Reaktorsicherheit, Historikerin",Deutschland,Hendricks,Barbara,"['13', '14', '15', '16', '17', '18', '19']","[0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2017-;19
2017-;19,11002716,1,Union,1951,Rechtsanwalt,Deutschland,Lamers,Karl A.,"['13', '14', '15', '16', '17', '18', '19']","[1, 0, 0, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2017-;19
2017-;19,11002720,0,Bündnis 90/Die Grünen,1968,Dipl.-Agraringenieurin,Deutschland,Lemke,Steffi,"['13', '14', '18', '19']","[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2017-;19
2017-;19,11002733,1,Union,1961,"Diplom Mathematiker, Parl. Staatssekretär",Deutschland,Meister,Michael,"['13', '14', '15', '16', '17', '18', '19']","[1, 0, 0, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2017-;19
2017-;19,11002738,1,Union,1949,"Selbständiger Unternehmer, Bürgermeister a. D.",Deutschland,Michelbach,Hans,"['13', '14', '15', '16', '17', '18', '19']","[0, 0, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2017-;19
2017-;19,11002742,1,Union,1955,"Bundesminister für wirtschaftliche Zusammenarbeit und Entwicklung, Dipl.-Wirtschaftspädagoge",Deutschland,Müller,Gerd,"['13', '14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2017-;19
2017-;19,11002746,1,Bündnis 90/Die Grünen,1965,Dipl.-Sozialpädagoge (FH),Deutschland,Özdemir,Cem,"['13', '14', '18', '19']","[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2017-;19
