,VORNAME,NACHNAME,WP20
217,Roderich,Kiesewetter,1
218,Sven-Christian,Kindler,1
219,Volkmar,Klein,1
220,Maria,Klein-Schmeink,1
221,Axel,Knoerig,1
222,Pascal,Kober,1
223,Daniela,Kolbe,1
224,Jutta,Krellmann,0
225,Oliver,Krischer,1
226,Rüdiger,Kruse,0
227,Stephan,Kühn,1
228,Ulrich,Lange,1
229,Caren,Lay,1
230,Sabine,Leidig,0
231,Ralph,Lenkert,1
232,Ursula,Leyen,0
233,Stefan,Liebich,1
234,Christian,Lindner,1
235,Carsten,Linnemann,1
236,Burkhard,Lischka,1
237,Jan-Marco,Luczak,1
238,Kirsten,Lühmann,0
239,Oliver,Luksic,1
240,Thomas,Lutze,1
241,Karin,Maag,1
242,Thomas,Maizière,0
243,Agnes,Malczak,1
244,Hans-Georg,Marwitz,1
245,Andreas,Mattfeldt,1
246,Mathias,Middelberg,1
247,Cornelia,Möhring,0
248,Dietrich,Monstadt,1
249,Niema,Movassat,1
250,Nadine,Müller,1
251,Beate,Müller-Gemmeke,1
252,Ingrid,Nestle,1
253,Martin,Neumann,0
254,Thomas,Nord,0
255,Konstantin,Notz,1
256,Aydan,Özoğuz,1
257,Lisa,Paus,1
258,Eckhard,Pols,1
259,Ingrid,Remmers,1
260,Lothar,Riebsamen,1
261,Josef,Rief,1
262,Tabea,Rößner,1
263,Erwin,Rüddel,1
264,Stefan,Ruppert,1
265,Tankred,Schipanski,1
266,Frithjof,Schmidt,0
267,Patrick,Schnieder,1
268,Jimmy,Schulz,1
269,Armin,Schuster,1
270,Stefan,Schwartze,1
271,Detlef,Seif,1
272,Reinhold,Sendker,0
273,Patrick,Sensburg,1
274,Judith,Skudelny,1
275,Frank,Steffel,1
276,Sonja,Steffen,0
277,Dieter,Stier,1
278,Stephan,Stracke,1
279,Karin,Strenz,1
280,Kerstin,Tack,1
281,Peter,Tauber,1
282,Stephan,Thomae,1
283,Markus,Tressel,1
284,Johannes,Vogel,1
