WP-JAHRE,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP-JAHRE,ANFANG,ALTER
1949-1953,11000114,1,CDU,1895,Hochschullehrer,Deutschland,Baur,Georg,['1'],['Direktwahl'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,54
1949-1953,11000115,1,SPD,1891,Angestellter,Deutschland,Baur,Valentin,"['1', '2', '3']","['Landesliste', 'Landesliste', 'Landesliste']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,58
1949-1953,11000116,1,CDU,1895,Oberregierungsrat,Deutschland,Bausch,Paul,"['1', '2', '3', '4']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,54
1949-1953,11000121,1,SPD,1920,Hauptgeschäftsführer a. D.,Deutschland,Bazille,Helmut,"['1', '2', '3', '4', '5']","['Landesliste', 'Landesliste', 'Landesliste', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,29
1949-1953,11000128,1,CDU,1905,Schuhmachermeister,Deutschland,Becker,Josef,"['1', '2', '3', '4', '5', '6']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,44
1949-1953,11000130,1,FDP,1888,"Rechtsanwalt und Notar, Vizepräsident DBT a. D.",Deutschland,Becker,Max,"['1', '2', '3']","['Landesliste', 'Landesliste', 'Landesliste']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,61
1949-1953,11000137,1,SPD,1913,"Chefredakteur, Geschäftsführer",Deutschland,Behrisch,Arno,"['1', '2', '3']","['Direktwahl', 'Landesliste', 'Landesliste']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,36
1949-1953,11000154,1,SPD,1907,Gewerkschaftssekretär i. R.,Deutschland,Bergmann,Karl,"['1', '2', '3', '4', '5', '6']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,42
1949-1953,11000157,1,SPD,1883,Dozent,Deutschland,Bergstraesser,Ludwig,['1'],['Direktwahl'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,66
1949-1953,11000159,1,SPD,1910,"Angestellter, Geschäftsführer",Deutschland,Berlin,August,"['1', '2', '3', '4', '5', '6']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,39
1949-1953,11000164,1,FU,1910,Rechtsanwalt und Notar,Deutschland,Bertram,Helmut,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,39
1949-1953,11000166,1,CSU,1904,Rechtsanwalt,Deutschland,Besold,Anton,"['1', '3', '4', '5']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,45
